Dimension,Check,Status,Evidence,Chapter5Impact
数值闭合,公共母线实际功率平衡,PASS,"max residual = 4.591e-14 MW",可支撑小时级能量守恒核对
时间范围,至少168 h多日场景,NOT_READY,"current horizon = 24 h",不足时不能验证连续低风、跨日移峰和船运窗口
时间范围,8760 h年度经济与消纳分析,NOT_READY,"current horizon = 24 h",不足时不能计算年度收益、弃电率和容量因子
状态公平性,电池期末SOC回归初值,NOT_READY,"SOC initial/end = 0.500000 / 0.100000",不满足时方案可通过透支初始电量获得虚假收益
状态公平性,储氢期末库存回归初值,NOT_READY,"H2 inventory initial/end = 24000.000 / 0.000 kg",不满足时氢方案会把初始库存当作无成本产品
接口可行域,4.6预发布在线底座与响应一致,NOT_READY,"published = 10.000000 MW; response range = 2.393702..2.393702 MW",不一致会使4.9错误判断算力启停和刚性保供
通道覆盖,电力外送通道非零,NOT_READY,"delivered electricity = 0.000000 MWh",当前场景不能验证电力外输方案
通道覆盖,当期制氢通道非零,NOT_READY,"produced/delivered H2 = 0.000 / 23760.000 kg",只有库存交付不能验证风电制氢与船运方案
通道覆盖,算力交付通道非零,PASS,"delivered compute = 169.920000 MWh-CS",可用于算力链路接口验证
通道覆盖,海洋用能通道非零,PASS,"served marine energy = 383.896937 MWh",可用于海洋刚柔负荷接口验证
调度完整性,4.6释放功率继续分配到剩余价值通道,NOT_READY,"remaining released = 26.310460 MWh; spill = 26.310460 MWh",当前释放功率只补海洋负荷，可能在海缆仍有余量时高估弃电
调度完整性,电力/氢气/算力统一边际价值排序,NOT_READY,"4.9 fixes compute before comparing H2 net value with electricity value",混合方案当前是优先级规则，不是三产品价值最优
氢储船运,管道与船运分流、船期和成本独立计量,BLOCKED,"4.7 bridge uses pipe-first allocation and returns only aggregate H2 delivery",当前结果不能代表独立氢储船运方案
经济性,年度化CAPEX已配置,NOT_READY,"annualizedCapitalCNY = 0.000",为0时不能比较电缆、制氢船运、算力和混合方案
经济性,风光潮分源成本参数完整,NOT_READY,"source cost vector = [NaN NaN NaN] CNY/MWh",缺失时不能比较供能组合成本及容量策略
经济性,初始氢库存成本或机会价值已计入,NOT_READY,"delivered minus produced = 23760.000 kg",当前经济目标会确认初始库存带来的收入但不确认其形成成本
消纳,弃电量及分母可追溯,PASS,"spill/available = 26.310460 / 613.861926 = 4.2861%",当前仅为24 h指标，年度比较仍需同源8760 h序列
碳减排,统一反事实基准与替代排放因子,BLOCKED,"No counterfactual baseline packet or avoided-emission field",当前只能给出项目排放代理值，不能给出碳减排量
稳定性,频率/电压/故障动态指标,BLOCKED,"No frequency nadir, RoCoF, voltage deviation, FRT or black-start result",小时级功率残差不能替代构网稳定性验证
方案可比性,电力/氢储船运/算力/混合统一场景入口,BLOCKED,"run_v4_integration has no strategy/scenario input argument",尚不能自动保证四方案使用同一资源、初态、期末状态和可靠性约束
