assetName,scenarioEnabled,enabled,capexCNY,constructionFinancingCNY,financedCapexCNY,fixedOMAnnualCNY,depreciationLifeYear,annualDepreciationCNY,annualFinancingCNY,replacementPVCNY,annualReplacementRecoveryCNY,replacementSchedule,sourceCategory,sourceUrl,dataStatus
floatingWind,1,1,13600000000,1694368897.40116,15294368897.4012,498899952,25,611774755.896047,820983048.78289,0,0,none within analysis life,政府官网＋美国国家实验室官方报告,https://www.nea.gov.cn/20260522/7cf96e984e124058922e2513523e8581/c.html ; https://www.nrel.gov/docs/fy25osti/91775.pdf,政府官网公开目标代理
marineFloatingPV,1,1,641287520,79895413.8367299,721182933.83673,11956208,25,28847317.3534692,38712219.361472,0,0,none within analysis life,国际合作组织技术报告＋美国国家实验室官方基准,https://iea-pvps.org/key-topics/t13-floating-pv-plants-review-2025/ ; https://atb.nrel.gov/electricity/2024/utility-scale_pv,国际合作组织数据库中位值代理
tidalStream,1,1,2173856000,270831911.310949,2444687911.31095,65215680,20,122234395.565547,106780983.129168,368328212.797093,34504537.2652252,Y10/Y20: 25% major overhaul [假设值],欧盟政府报告＋假设值,https://op.europa.eu/webpub/mare/eu-blue-economy-report-2025/blue-economic-sectors/marine-renewable-energy.html,[假设值，待企业调研校准]
BESS,1,1,455966296,56806993.3974715,512773289.397471,11399157.4,15,34184885.9598314,13851089.7213852,253409810.4044,23739121.6384749,Y10/Y20: NREL replacement-cost proxy,美国国家实验室官方技术报告,https://www.nrel.gov/docs/fy24osti/87646.pdf,美国国家实验室公开成本代理
PEMElectrolyzer,1,1,716693150,89289895.7603284,805983045.760328,21500794.5,20,40299152.2880164,35204355.3753977,194293132.250467,18201143.4074063,Y10/Y20: 40% stack [假设值],美国国家实验室官方技术报告,https://www.nrel.gov/docs/fy24osti/87625.pdf,美国国家实验室公开制造价格代理
hydrogenStorage,1,1,13976703.1883037,1741300.82135805,15718004.0096617,139767.031883037,25,628720.160386469,843723.264372581,0,0,none within analysis life,美国能源部/国家实验室官方技术报告,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/progress19/ins_sa173_hunter_2019.pdf,美国国家实验室陆上储氢代理
subseaCompute,1,1,4632661044.48,577164469.556537,5209825514.03654,185306441.7792,25,208393020.561461,279657072.667274,3876533390.76369,363148915.000928,Y5/Y10/Y15/Y20: 50% IT [假设值],企业官方网站技术白皮书,https://blog.se.com/datacenter/architecture/2020/02/24/liquid-vs-air-cooling-which-is-the-capex-winner/,企业官网2 MW液冷数据中心代理
powerExportCable,1,1,1350771494.47228,168287147.6272,1519058642.09948,13507714.9447228,40,37976466.0524871,104327092.847733,0,0,none within analysis life,美国国家实验室官方技术报告,https://docs.nrel.gov/docs/fy24osti/88003.pdf,NREL电压等级/线路安装成本代理
converterAndSubstation,1,1,2726151290,339640143.778387,3065791433.77839,27261512.9,30,102193047.792613,185006550.551729,0,0,none within analysis life,美国国家实验室官方技术报告,https://docs.nrel.gov/docs/fy24osti/88003.pdf,NREL换流站/变电站成本代理
fiberCable,1,1,54141500,6745270.12195919,60886770.1219592,1624245,25,2435470.80487837,3268327.48056462,6450100.36911958,604237.527341771,Y12: 30% [假设值],欧盟政府研究机构官网,https://joint-research-centre.ec.europa.eu/jrc-explains/subsea-cables-how-vulnerable-are-they-and-can-we-protect-them_en,欧盟政府研究机构平均安装成本代理
