"C5Path","SourcePath","SourceType","Status"
"5.1场景设计/code","V5模型/scenarios","V5原联合测试实现","MOVED_AND_REFACTORED"
"5.1场景设计/data/annual_2025","V5模型/somedata年度文件","政府/国际公共再分析数据","MOVED"
"5.1场景设计/data/compute_inputs","V5 foundation 4.6参数与任务文件","项目内部数据","COPIED_TEST_INPUT"
"5.2三大基准方案/code","V5模型/chapter5_preparation年度滚动器","V5原联合测试实现","MOVED_AND_REFACTORED"
"5.3对比方案与模型最优策略/code","V5模型/validation与chapter5_preparation","V5原联合测试实现","MOVED_AND_REFACTORED"
"5.7混合最优策略短测试与年度运营分析/code","LIJunHong659先验后验思想的本地重构与C5在线策略","C5测试实现；核心公式另引学术文献","ACTIVE_CAUSAL_HOURLY"
"5.7混合最优策略短测试与年度运营分析/results/annual_8760h_online_strategy_extreme","本机MATLAB R2025b在线策略8,760 h复算","模型仿真输出；输入含政府公开数据与假设参数","ACTIVE_ANNUAL_EVIDENCE"
"_obsolete_results","旧刚性算力/未生效SOC储备年度输出","模型仿真旧结果","OBSOLETE_DO_NOT_CITE"
"../C4调度模型与分析/V5模型","V5联合模型内核","项目模型实现","RELATIVE_RUNTIME_DEPENDENCY"
"../C4调度模型与分析/90_历史工作归档/2026-07-31_V4与external归档","V4整合与external","本地历史文件审计","ARCHIVED_NOT_RUNTIME"
