parameter,value,unit,description,type
design_pue,1.076,p.u.,上海临港海底数据中心公开运行PUE参照值；仅作同类项目代理而非本项目性能保证,政府官网公开用海论证报告_公开代理值
reference_sea_temperature,23.5,degC,用于PUE曲线的参考海温；尚未由项目点多年海温统计标定,[假设值，待企业调研校准]
cdm_capacity_min,440,kW,C8000系列CDM最小换热量；原资料未保留可核验链接,[假设值，待企业调研校准]
cdm_capacity_max,1320,kW,C8000系列CDM最大换热量；原资料未保留可核验链接,[假设值，待企业调研校准]
cold_source_temp_min,15,degC,CDM允许最低进水温度；原资料未保留可核验链接,[假设值，待企业调研校准]
cold_source_temp_max,35,degC,CDM允许最高进水温度；原资料未保留可核验链接,[假设值，待企业调研校准]
cooling_fixed_power,0.05,MW,冷却系统泵和控制器等固定功耗,[假设值，待企业调研校准]
cooling_linear_coeff,0.01106556,-,在现有固定功耗和配电效率假设下反推使满载参考点PUE等于1.076,[假设值，待企业调研校准]
cooling_quadratic_coeff,0.0001,1/MW,冷却功率随IT负载变化的二次系数,[假设值，待企业调研校准]
temperature_coefficient,0.002,1/degC,海温升高对应的冷却功耗增量系数,[假设值，待企业调研校准]
fixed_auxiliary_power,0.10,MW,监控照明网络等固定辅助功耗,[假设值，待企业调研校准]
thermal_time_constant,1.0,h,冷却系统热惯性时间常数,[假设值，待企业调研校准]
cooling_power_min,0.05,MW,冷却功率非负下限,模型边界
