文件名,字段名,中文含义,单位,来源网址
public_reference_v4_output_bridge_input_168h.csv,timestamp_utc,时间戳,UTC,"https://power.larc.nasa.gov/docs/services/api/temporal/hourly/"
public_reference_v4_output_bridge_input_168h.csv,wind_speed_50m_m_s,50 米风速,m/s,"https://power.larc.nasa.gov/docs/services/api/temporal/hourly/"
public_reference_v4_output_bridge_input_168h.csv,wind_speed_10m_m_s,10 米风速,m/s,"https://power.larc.nasa.gov/docs/services/api/temporal/hourly/"
public_reference_v4_output_bridge_input_168h.csv,air_temp_2m_c,2 米气温,°C,"https://power.larc.nasa.gov/docs/services/api/temporal/hourly/"
public_reference_v4_output_bridge_input_168h.csv,shortwave_wh_m2,逐小时短波辐照,Wh/m²,"https://power.larc.nasa.gov/docs/services/api/temporal/hourly/"
public_reference_v4_output_bridge_input_168h.csv,wave_height_m,有效波高,m,"https://open-meteo.com/en/docs/marine-weather-api"
public_reference_v4_output_bridge_input_168h.csv,wave_direction_deg,波向,deg,"https://open-meteo.com/en/docs/marine-weather-api"
public_reference_v4_output_bridge_input_168h.csv,wave_period_s,波周期,s,"https://open-meteo.com/en/docs/marine-weather-api"
public_reference_v4_output_bridge_input_168h.csv,wind_wave_height_m,风浪波高,m,"https://open-meteo.com/en/docs/marine-weather-api"
public_reference_v4_output_bridge_input_168h.csv,wind_wave_direction_deg,风浪波向,deg,"https://open-meteo.com/en/docs/marine-weather-api"
public_reference_v4_output_bridge_input_168h.csv,wind_wave_period_s,风浪周期,s,"https://open-meteo.com/en/docs/marine-weather-api"
public_reference_v4_output_bridge_input_168h.csv,wind_power_mw_est,估算风电功率,MW,基于公开气象代理换算
public_reference_v4_output_bridge_input_168h.csv,pv_power_mw_est,估算光伏功率,MW,基于公开辐照代理换算
public_reference_v4_output_bridge_input_168h.csv,available_power_mw_est,估算可用总功率,MW,风电加光伏
public_reference_v4_output_bridge_input_168h.csv,export_requested_mw,外送请求功率,MW,派生假设
public_reference_v4_output_bridge_input_168h.csv,marine_available_mw,海洋可用功率,MW,派生假设
public_reference_v4_output_bridge_input_168h.csv,marine_requested_mw,海洋请求功率,MW,派生假设
public_reference_v4_output_bridge_input_168h.csv,compute_served_mwh_cs,算力服务量,MWh-CS,派生假设
public_reference_v4_output_bridge_input_168h.csv,compute_delivery_cap_mwh_cs,算力交付上限,MWh-CS,派生假设
public_reference_v4_output_bridge_input_168h.csv,h2_power_mw_est,估算制氢功率,MW,派生假设
public_reference_v4_output_bridge_input_168h.csv,h2_production_kg_est,估算产氢量,kg,由 SEC 换算
public_reference_v4_output_bridge_input_168h.csv,h2_available_kg,可用氢量,kg,含库存
public_reference_v4_output_bridge_input_168h.csv,h2_requested_kg,请求氢量,kg,派生假设
public_reference_v4_output_bridge_input_168h.csv,h2_inventory_end_kg_est,期末库存估算,kg,派生假设
public_reference_v4_output_bridge_input_168h.csv,数据状态,数据状态,文本,公开代理数据_非工程实测
public_reference_v4_output_bridge_result_168h.csv,timestamp_utc,时间戳,UTC,"https://power.larc.nasa.gov/docs/services/api/temporal/hourly/"
public_reference_v4_output_bridge_result_168h.csv,export_actual_mw,实际外送功率,MW,桥接脚本计算
public_reference_v4_output_bridge_result_168h.csv,cable_receive_mw,到岸功率,MW,桥接脚本计算
public_reference_v4_output_bridge_result_168h.csv,cable_loss_mw,海缆损耗功率,MW,桥接脚本计算
public_reference_v4_output_bridge_result_168h.csv,marine_actual_mw,实际海洋供能,MW,桥接脚本计算
public_reference_v4_output_bridge_result_168h.csv,marine_unserved_mw,海洋未供能,MW,桥接脚本计算
public_reference_v4_output_bridge_result_168h.csv,h2_withdrawn_kg,提氢量,kg,桥接脚本计算
public_reference_v4_output_bridge_result_168h.csv,h2_delivered_kg,交付氢量,kg,桥接脚本计算
public_reference_v4_output_bridge_result_168h.csv,compute_delivered_mwh_cs,交付算力量,MWh-CS,桥接脚本计算
public_reference_v4_output_bridge_result_168h.csv,marine_below_rigid,是否低于刚性负荷,0/1,桥接脚本计算
public_reference_v4_output_bridge_result_168h.csv,marine_violation_count,海洋违约次数,次,桥接脚本计算
