scenarioId,scenarioLabel,targetElectricityInputShare,targetHydrogenInputShare,targetComputeInputShare,allocationBoundary,capacityRule,parameterStatus,testScenarioId,horizonH,shareTolerance,maxENSLimitMWh,minRenewableUtilizationLimit,commonCableCapacityMW,commonElectrolyzerCapacityMW,commonComputeCapacityMW,status,auditPass,exitflag,eAvailableMWh,eElectricityInputMWh,eHydrogenInputMWh,eTotalComputeInputMWh,eFlexibleComputeInputMWh,realizedElectricityInputShare,realizedHydrogenInputShare,realizedComputeInputShare,maxShareDeviation,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,renewableUtilization,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,minimumGfmUpwardPowerHeadroomMW,minimumGfmUpwardEnergyHeadroomMWh,minimumGfmDownwardPowerHeadroomMW,minimumGfmDownwardEnergyHeadroomMWh,simultaneousCurtailmentCriticalENSCount,actualPeakCableSendMW,actualPeakElectrolyzerMW,actualPeakComputeFacilityMW
mix_E100,"Power only",1,0,0,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,4810.41390852029,0,720,0,1,0,0,0,4425.58079583867,0,669.144981412639,5347.46528376012,0.551707155022121,0,3262804.89846147,139026.906522028,-3123777.99193944,5.21012209855405,0,0,2.8421709430404e-14,0,200,0,20
mix_H100,"Hydrogen only",0,1,0,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,0,1200,720,0,0,1,0,0,0,20823.1664611591,669.144981412639,8972.76139841941,0.247788527618692,0,1709280.25614345,283584.822304931,-1425695.43383852,53.5664741183834,0,0,31,0,0,100,20
mix_C100,"Compute only",0,0,1,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,0,0,3165.84002690244,2445.84002690244,0,0,1,0,0,0,2942.23050827364,7721.96873338463,0.352645945578707,0,2679817.10287197,88779.472875381,-2591037.62999659,16.7794225140745,0,0,0,0,0,0,120
mix_E80_H20,"Power + hydrogen, power-led",0.8,0.2,0,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,4810.41788832948,1200,720,0,0.800346661031663,0.199653338968337,0,0.000346661031663309,4425.58445726312,20823.1664611591,669.144981412639,4147.46130395093,0.652306816646324,0,4303963.22151942,384223.498360593,-3919739.72315883,10.5630288548596,0,0,0,0,200,100,20
mix_E60_H40,"Power + hydrogen",0.6,0.4,0,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,3273.71127198879,2006.46819896087,720,0,0.62,0.38,0,0.02,3011.81437022968,34825.0103091541,669.144981412639,4887.62904763723,0.590256501970008,0,3817550.31530423,506989.906949617,-3310560.40835462,36.6064076102463,0,0,0,0,200,100,20
mix_E40_H60,"Power + hydrogen, H2-led",0.4,0.6,0,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,1452.95973028201,2006.46819896087,720,0,0.42,0.58,0,0.02,1336.72295185945,34825.0103091541,669.144981412639,6708.38097099612,0.437617818704436,0,2644986.32244507,470574.762500582,-2174411.55994449,31.7264472159472,0,0,0,0,200,100,20
mix_E20_H80,"Power + hydrogen, high-H2",0.2,0.8,0,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,441.647187075046,1565.84002690244,720,0,0.22,0.78,0,0.0200000000000001,406.315412109043,27202.9731659928,669.144981412639,8160.32185897027,0.315897587366729,0,1993701.04461978,333430.081766591,-1660270.96285319,36.6064076102463,0,0,0,0,200,100,20
mix_E80_C20,"Power + compute, power-led",0.8,0,0.2,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,5738.66744151179,0,2338.59850914435,1618.59850914435,0.78,0,0.22,0.02,5279.57404619085,0,2173.41868879586,2800.61175462302,0.765216949613251,0,4616651.23510637,189964.390033576,-4426686.84507279,12.6064076102463,0,0,0,0,200,0,120
mix_E60_C40,"Power + compute, moderate compute",0.6,0,0.4,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,3990.58109652503,0,3165.84002690244,2445.84002690244,0.62,0,0.38,0.02,3671.33460880303,0,2942.23050827364,3726.91367597993,0.687562490612897,0,5088050.75507273,169922.958544676,-4918127.79652805,15.4584157572958,0,0,0,0,200,0,120
mix_E40_C60,"Power + compute, compute-led",0.4,0,0.6,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,1771.12553672245,0,3165.84002690244,2445.84002690244,0.42,0,0.58,0.02,1629.43549378466,0,2942.23050827364,5950.84282541229,0.50112434234553,0,3820421.94852123,124202.094128065,-3696219.85439317,15.4584157572958,0,0,0,0,200,0,120
